Year,Renewables
1978,2172.350716
1979,2539.769532
1980,2485.980789
1981,2209.939967
1982,1001.983562
1983,723.571308
1984,581.3695267
1985,560.9191911
1986,448.5303884
1987,377.7270052
1988,304.6620255
1989,309.2488821
1990,261.6852093
1991,364.0638974
1992,416.9509786
1993,426.6204377
1994,505.9766313
1995,573.8903626
1996,397.0026589
1997,352.1573875
1998,445.2700337
1999,533.8991856
2000,416.6985372
2001,493.1300343
2002,501.3073038
2003,393.5323504
2004,353.6028068
2005,383.6456339
2006,340.6910675
2007,675.8384392
2008,812.5939367
2009,990.9714869
2010,1129.980947
2011,849.2328484
2012,893.9092823
2013,833.2923453
2014,900.7641945
2015,834.0301876
2016,912.9461753
2017,873.3032903
2018,944.5858504
2019,945.4396577
2020,1093.029241
2021,1076.42972
2022,1022.462496
2023,1798.569176